日期,成交商品件数
2018-08-10,59587
2018-08-11,66239
2018-08-12,44211
2018-08-13,66976
2018-08-14,46037
2018-08-15,43030
2018-08-16,59703
2018-08-17,56376
2018-08-18,40393
2018-08-19,27784
2018-08-20,24134
2018-08-21,23483
2018-08-22,27671
2018-08-23,26038
2018-08-24,30707
2018-08-25,31797
2018-08-26,33327
2018-08-27,26765
2018-08-28,34117
2018-08-29,35038
2018-08-30,34615
2018-08-31,35358
2018-09-01,37684
2018-09-02,31534
2018-09-03,27867
2018-09-04,29761
2018-09-05,41123
2018-09-06,48494
2018-09-07,42631
2018-09-08,31227
2018-09-09,40555
2018-09-10,35454
2018-09-11,40551
2018-09-12,35028
2018-09-13,35386
2018-09-14,36926
2018-09-15,30468
2018-09-16,28083
2018-09-17,32478
2018-09-18,44839
2018-09-19,34055
2018-09-20,32845
2018-09-21,26861
2018-09-22,31410
2018-09-23,21078
2018-09-24,14880
2018-09-25,20229
2018-09-26,18305
2018-09-27,16795
2018-09-28,27665
2018-09-29,27437
2018-09-30,19186
2018-10-01,17508
2018-10-02,13466
2018-10-03,13930
2018-10-04,18318
2018-10-05,18690
2018-10-06,20133
2018-10-07,18297
2018-10-08,20490
2018-10-09,40024
2018-10-10,32728
2018-10-11,29047
2018-10-12,24410
2018-10-13,26479
2018-10-14,23006
2018-10-15,25919
2018-10-16,49284
2018-10-17,42734
2018-10-18,38707
2018-10-19,45468
2018-10-20,66383
2018-10-21,67651
2018-10-22,55176
2018-10-23,78969
2018-10-24,68725
2018-10-25,77611
2018-10-26,76741
2018-10-27,67297
2018-10-28,70438
2018-10-29,61175
2018-10-30,65199
2018-10-31,75501
2018-11-01,79121
2018-11-02,60061
2018-11-03,81965
2018-11-04,69005
2018-11-05,87477
2018-11-06,97315
2018-11-07,86784
2018-11-08,82149
2018-11-09,114759
2018-11-10,177229
2018-11-11,660818
2018-11-12,218431
2018-11-13,101263
2018-11-14,79815
2018-11-15,87436
2018-11-16,76776
2018-11-17,119585
2018-11-18,123210
2018-11-19,122670
2018-11-20,126770
2018-11-21,119502
2018-11-22,106761
2018-11-23,98552
2018-11-24,94163
2018-11-25,100198
2018-11-26,101498
2018-11-27,110055
2018-11-28,135187
2018-11-29,379960
2018-11-30,273955
2018-12-01,62816
2018-12-02,66726
2018-12-03,111120
2018-12-04,197634
2018-12-05,113772
2018-12-06,79206
2018-12-07,66621
2018-12-08,61852
2018-12-09,63848
2018-12-10,68305
2018-12-11,85520
2018-12-12,284984
2018-12-13,105472
